"Footprint pattern","LCSC Category","LCSC Package"
"^R_0402","Resistors","0402"
"^R_0603","Resistors","0603"
"^R_0805","Resistors","0805"
"^R_1206","Resistors","1206"
"^R_2010","Resistors","2010"
"^R_2512","Resistors","2512"
"^R_Array.+_4x0402","Resistors","0402x4"
"^R_Array.+_4x0603","Resistors","0603x4"
"^C_0402","Capacitors","0402"
"^C_0603","Capacitors","0603"
"^C_0805","Capacitors","0805"
"^C_1206","Capacitors","1206"
"^CP_EIA-3216-18","Capacitors","CASE-A-3216-18(mm)"
"^CP_EIA-3528-21","Capacitors","CASE-B-3528-21(mm)"
"^L_0402","Inductors/Coils/Transformers","0402"
"^L_0603","Inductors/Coils/Transformers","0603"
"^L_0805","Inductors/Coils/Transformers","0805"
"^L_1206","Inductors/Coils/Transformers","1206"
"^L_1210","Inductors/Coils/Transformers","1210"
"^L_2010","Inductors/Coils/Transformers","2010"
"^L_2512","Inductors/Coils/Transformers","2512"
"^D_0402","Diodes","0402"
"^D_0603","Diodes","0603"
"^D_0805","Diodes","0805"
"^D_1206","Diodes","1206"
"^D_2010","Diodes","2010"
"^D_2512","Diodes","2512"
"^D_SOD-123","Diodes","SOD-123"
"^D_SOD-123F","Diodes","SOD-123FL"
"^D_SOD-323","Diodes","SOD-323"
"^D_SOD-523","Diodes","SOD-523"
"^D_SMA","Diodes","SMA"
"^D_SMB","Diodes","SMB"
"^D_SMC","Diodes","SMC"
"^D_SMF","Diodes","SMAF"
"^Crystal_SMD_3225","Crystals/Oscillators/Resonators","SMD3225-4P"
"^Crystal_SMD_3215","Crystals/Oscillators/Resonators","SMD3215-2P"
"^Crystal_SMD_5032","Crystals/Oscillators/Resonators","SMD5032"
"^Crystal_SMD_HC49-SD","Crystals/Oscillators/Resonators","HC-49S-SMD"
"^Oscillator_SMD.+3\.2x2\.5mm","Crystals/Oscillators/Resonators","SMD3225-4P"
"^Oscillator_SMD.+5\.0x3\.2mm","Crystals/Oscillators/Resonators","SMD5032"
